job_title,schaal_title,seniority,tk_label_run1,dim_dominant_r1,tk_rationale_run1,tk_label_run2,dim_dominant_r2,tk_rationale_run2,verifier_score
Pricing & Deal Performance Lead,Business Intelligence Analysts,senior,1,Technical,"The role involves structured problem-solving and collaboration within defined frameworks, suggesting a mix of procedural and judgment-based tasks. While it requires some institutional judgment, the presence of structured processes and collaboration indicates that a strong junior could grow into the role with guidance. Dominant: Technical (data analysis systems). Also present: Social (stakeholder collaboration), Cognitive (problem-solving). Absent: none.",2,Cognitive,"The role involves high-level strategy development and institutional judgment that cannot be fully described in a manual, such as serving as a thought partner to senior leadership. The responsibility to develop unique and impactful recommendations indicates deep tacit knowledge. Dominant: Cognitive. Also present: Technical (data systems), Social (stakeholder collaboration). Absent: none.",0.35150000000000003
"Manager, Advisory Insights Research",Business Intelligence Analysts,senior,2,Cognitive,"The role requires developing market research strategies and delivering insights through complex analysis, which involves significant cognitive judgment and cannot be fully captured in a manual. The need to cultivate relationships with key stakeholders and mentor a research team indicates a strong social dimension. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Technical,"The role requires leading market research strategies, which involves some institutional judgment, but it is bounded by structured methodologies in market research. The ability to synthesize complex information and present findings suggests a need for developed skills but not deep tacit knowledge. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",0.2265
Business Analyst,Business Intelligence Analysts,mid,1,Technical,"The role involves analyzing data to identify fraud trends and supporting fraud prevention strategies, which requires some institutional judgment but is largely bounded by established methodologies. The need for technical skills and quantitative analysis suggests a strong technical component, while relationship management and stakeholder influence indicate a social dimension. Dominant: Technical. Also present: Social, Cognitive. Absent: none.",2,Cognitive,"The role requires developing strategic direction for risk and involves significant institutional judgment in fraud strategy, which cannot be fully captured in a manual. It also involves analyzing complex data trends and influencing decision-making, which suggests deep domain expertise. Dominant: Cognitive (institutional strategy). Also present: Technical (quantitative analysis), Social (stakeholder relationship management). Absent: none.",0.35200000000000004
Sr. Analyst GTM Strategy & Operations,Business Intelligence Analysts,senior,2,Cognitive,"The role requires strategic thinking and influencing company direction, which involves significant cognitive tacit knowledge. The need to lead cross-functional teams and partner with diverse operations indicates social tacit knowledge. Technical skills are present but not dominant. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Cognitive,"The role involves strategic thinking and operational initiatives, requiring some institutional judgment, but it is bounded by collaboration with cross-functional teams and defined projects, implying that a strong junior could eventually manage with guidance. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",0.2275
"Associate, Tech, Data, Analytics, Cyber, and Operations Leadership Development Program",Business Intelligence Analysts,junior,1,Technical,"The role involves structured learning and rotation assignments, indicating a mix of procedural and experiential learning. While there is exposure to leaders and a focus on leadership development, the structured nature of the program suggests that a strong junior could grow into the role with guidance. Dominant: Technical. Also present: Social (mentorship, exposure to leaders). Absent: Cognitive.",0,Technical,"The emphasis is on structured learning and skill-building within a defined framework, suitable for high-performing graduates. Tasks are oriented around learning and procedural execution under guidance, not independent judgment. Dominant: Technical (individual/local). Also present: Social (mentorship and teamwork). Absent: Cognitive.",0.24500000000000002
Senior Systems Engineer,Computer Systems Engineers/Architects,senior,2,Cognitive,"The role involves leading complex engineering programs and developing advanced solutions, which require deep institutional judgment and cannot be fully captured in a manual. The need to guide major programs and develop solutions to complex problems indicates a high level of Cognitive TK. Dominant: Cognitive. Also present: Technical (systems design and integration), Social (project leadership). Absent: none.",1,Technical,"The role involves leading major engineering programs and developing advanced solutions, indicating a need for experience and judgment not fully captured by manuals, but it operates within structured engineering and technical frameworks. Dominant: Technical (institutional). Also present: Cognitive (problem-solving). Absent: Social.",0.2265
GenAI Python Systems Engineer –Senior Manager,Computer Systems Engineers/Architects,senior,1,Technical,"The role involves navigating complexity and ambiguity, which requires some level of institutional judgment beyond procedural tasks. However, the technical skills listed, such as proficiency in Python and SQL, are codifiable and align with structured workflows. The role also involves social interactions, such as coaching and client validation, but these are within a defined framework. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,Cognitive,"The role requires navigating complexity and ambiguity, which involves cognitive and institutional judgment beyond codifiable procedures. The need to influence and coach others, as well as solve complex problems, indicates deep tacit knowledge. Dominant: Cognitive (institutional strategy). Also present: Social (team leadership), Technical (data systems and AI techniques). Absent: none.",0.35350000000000004
Senior System Engineer,Computer Systems Engineers/Architects,senior,1,Technical,"The role involves system-level design and requires understanding interactions between subsystems, which suggests some institutional judgment. However, the tasks are bounded by systems engineering principles and tools, indicating a structured workflow. A strong junior with guidance could eventually manage this role. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,Cognitive,"The role requires developing mission architectures and resolving complex engineering problems, which cannot be fully captured by manuals. Familiarity with subsystem interactions and architectural trades involves significant cognitive and technical judgment. Interaction with customers and suppliers indicates a social dimension. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",0.35000000000000003
Remote Associate Technical Support Analyst,Computer User Support Specialists,junior,0,Technical,"The role primarily involves following established procedures to diagnose and resolve technical issues, which can be learned from manuals and training. The focus is on technical support and customer service, which are procedural and do not require deep institutional judgment. Dominant: Technical (individual/local). Also present: Social (customer interaction). Absent: Cognitive.",1,Technical,"The role requires technical troubleshooting skills across various devices, which suggests a need for some level of expertise and judgment beyond procedural manuals. While the role involves complex issue resolution, it is still bounded by specific technical domains and does not indicate the level of institutional or strategic judgment required for TK-2. Dominant: Technical. Also present: Social. Absent: Cognitive.",0.231
Desktop Support Technician,Computer User Support Specialists,mid,0,Technical,"The role primarily involves responding to technical assistance requests and maintaining systems, which are procedural tasks. While there is some involvement in designing standards and implementing solutions, these tasks are still within a structured framework and do not require deep institutional judgment. Dominant: Technical (individual/local). Also present: Social (customer interaction). Absent: Cognitive.",1,Technical,"The role involves both individual technical tasks like troubleshooting and implementing MDM solutions, and also some judgment in designing standards. However, the work is bounded by established procedures and tools, making it accessible to a strong junior with guidance. Dominant: Technical. Also present: Social (team collaboration). Absent: Cognitive.",0.365
Technical Help Desk 4,Computer User Support Specialists,mid,0,Technical,"The role primarily involves procedural tasks such as conducting diagnostics and updating manuals, which can be performed by a trained novice with a complete manual. While there is some collaboration, it does not extend to navigating complex social dynamics or institutional judgment. Dominant: Technical (individual/local). Also present: Social (basic collaboration). Absent: Cognitive.",1,Technical,"The role involves identifying problems and implementing remedial actions, which requires some judgment and experience beyond a basic manual. However, the tasks remain largely structured and procedural, fitting within a defined technical support framework. Dominant: Technical (local tools). Also present: Cognitive (problem-solving), Social (collaboration). Absent: Cognitive (institutional strategy).",0.3705
Data Delivery Lead,Data Warehousing Specialists,senior,1,Technical,"The role involves managing data projects and requires technical guidance in AWS, which suggests a structured workflow with some autonomy. The need to build strong client relationships and identify business opportunities indicates a mix of technical and social tacit knowledge. However, the role is bounded by project management frameworks and technical expertise, which a strong junior could eventually manage with guidance. Dominant: Technical. Also present: Social. Absent: Cognitive.",2,Cognitive,"The role involves significant client engagement and project delivery oversight, requiring deep institutional judgment and strategic insight to manage complex interactions and identify new business opportunities. Technical leadership in AWS and data technologies demands domain mastery. Dominant: Cognitive (institutional strategy). Also present: Social (client relationships), Technical (AWS expertise). Absent: none.",0.35200000000000004
NetSuite Functional Consultant – Manager,Data Warehousing Specialists,senior,1,Technical,"The role involves leading teams and managing complex implementations, which requires some institutional judgment and experience. However, the focus on NetSuite implementations suggests a structured methodology that a strong junior could learn over time. Dominant: Technical (institutional). Also present: Social (team leadership). Absent: Cognitive.",2,Cognitive,"The role requires navigating complex business issues from strategy to execution, which involves significant institutional judgment beyond what can be codified. Managing viewpoints to build consensus further indicates deep tacit knowledge, as it involves nuanced social interactions and strategic influence. Dominant: Cognitive (institutional judgment). Also present: Social (stakeholder management), Technical (NetSuite implementation). Absent: none.",0.35250000000000004
Sap IBP Architect,Data Warehousing Specialists,mid,2,Cognitive,"The role requires significant institutional judgment to translate business needs into innovative solutions, which cannot be fully captured in a manual. The consultant must navigate complex stakeholder interactions and influence the transformation journey, indicating deep social tacit knowledge. Technical expertise is also critical, but the cognitive and social dimensions dominate. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Technical,"The role requires significant experience in SAP PP/DS and related modules, indicating technical mastery beyond procedural work. However, the tasks are bounded by structured methodologies and frameworks, suggesting that a strong junior could grow into the role with guidance. Interaction with stakeholders and SAP for gap analysis is present but does not clearly reach the enterprise strategy level. Dominant: Technical (institutional). Also present: Social (stakeholder interaction). Absent: Cognitiv",0.225
Principal Database Kernel Developer,Database Architects,senior,1,Technical,"The role requires significant technical expertise in low-level system code and database engine components, which are not fully codifiable. However, the tasks are largely technical and can be learned with experience, suggesting a strong technical focus. The role involves collaboration, indicating some social interaction, but lacks the ambiguity and institutional judgment characteristic of TK-2. Dominant: Technical. Also present: Social. Absent: Cognitive.",2,Technical,"The role requires deep technical mastery and the ability to independently develop and optimize complex algorithms and systems, which involves significant institutional judgment. The emphasis on navigating concurrency and memory issues suggests a need for seasoned judgment in technical decision-making that cannot be fully codified. Dominant: Technical (institutional). Also present: Cognitive (self-motivation, high independence). Absent: Social.",0.35100000000000003
"Associate, Industrials M&A",Investment Fund Managers,junior,2,Cognitive,"The role requires significant interaction with senior executives and involvement in M&A transactions, which demands deep institutional judgment and relationship navigation skills that cannot be fully captured in a manual. The global platform and exposure to international clients further emphasize the need for advanced cognitive and social tacit knowledge. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Technical,"The role requires significant involvement in M&A transactions, suggesting some institutional judgment, but it is bounded by the structured nature of deal execution. Experience aids performance, yet a strong junior could grow into it with guidance. Dominant: Technical (local tools). Also present: Social (interaction with senior bankers and executives). Absent: Cognitive.",0.2265
Patient Safety Specialist,Medical and Health Services Managers,mid,1,Technical,"The role involves developing and implementing practice changes and collaborating with clinical teams, which requires some institutional judgment. However, the presence of structured frameworks and methodologies suggests that a strong junior could eventually manage with guidance. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,Cognitive,"The role involves developing and implementing practice changes and leading safety initiatives, which require deep institutional judgment and cannot be fully captured by manuals. The extensive knowledge required and the collaboration with leaders for safety strategies indicate a high level of cognitive and strategic involvement. Dominant: Cognitive. Also present: Technical (quality frameworks), Social (collaboration with leaders). Absent: none.",0.35250000000000004
Anesthesiology - Travel MD - Alaska - - 1585921 - Excellent Benefits 2024-12-16,Medical and Health Services Managers,mid,2,Cognitive,"The role requires significant medical expertise and judgment that cannot be fully captured in a manual, especially in high-stakes environments like anesthesia. The preference for fellowship and residency indicates the need for deep domain mastery. Dominant: Cognitive (institutional judgment). Also present: Technical (medical procedures), Social (patient interaction). Absent: none.",1,Technical,"This role requires specialized medical skills, such as TEE proficiency, which suggests some technical depth beyond basic procedures. However, the primary requirements appear to be technical and tool-dependent rather than requiring deep institutional judgment. Dominant: Technical. Also present: Cognitive (self-organization during calls), Social (patient interaction). Absent: Cognitive (institutional strategy).",0.2325
Emergency Medicine - Travel MD - Arizona - - 1586123 - Excellent Benefits 2024-12-09,Medical and Health Services Managers,mid,2,Cognitive,"The role involves high-stakes medical procedures and decision-making in emergency situations, which require deep domain expertise and cannot be fully captured in a manual. The ability to handle trauma cases and perform complex medical procedures indicates a need for seasoned judgment and experience. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",1,Technical,"The role requires clinical skills and procedures that are technical in nature and typically follow established medical protocols. However, emergency medicine involves some level of judgment for trauma cases and patient management, which goes beyond a simple procedural manual. A trained physician with experience can handle these tasks within the framework of medical guidelines. Dominant: Technical. Also present: Cognitive (some clinical judgment), Social (patient interaction). Absent: none.",0.2285
"Emergency Medicine - Travel MD - Frankfort, KY - - 1581809 - Excellent Benefits 2025-01-10",Medical and Health Services Managers,mid,1,Technical,"The role requires medical expertise and judgment in emergency situations, which cannot be fully captured in a manual. However, the procedures and certifications (e.g., intubation, central line placement) are standard and codifiable. Dominant: Technical (institutional). Also present: Cognitive (medical judgment), Social (patient interaction). Absent: none.",2,Cognitive,"Emergency Medicine Physicians must apply advanced medical knowledge and judgment in high-pressure, variable situations, which cannot be fully codified in manuals. The role involves significant institutional judgment in diagnosing and treating a wide range of conditions and performing critical procedures. Dominant: Cognitive (institutional judgment). Also present: Technical (emergency procedures), Social (patient interaction). Absent: none.",0.35300000000000004
Healthcare Marketer - Intern,Medical and Health Services Managers,junior,1,Social,"The role involves implementing marketing strategies and building partnerships, which requires some level of judgment and adaptation beyond procedural tasks. However, as an intern position, it is likely structured with guidance and support, allowing a novice to grow into the role. Dominant: Social. Also present: Cognitive, Technical. Absent: none.",0,Technical,"The role involves executing predefined marketing strategies and facilitating interactions, which are procedural and tool-dependent tasks. A novice with guidance can perform these tasks, and there is no clear evidence of the need for institutional judgment or mastery. Dominant: Technical. Also present: Social. Absent: Cognitive.",0.24050000000000002
"Physician (MD/DO) - Psychiatry in Fort Wayne, IN - Excellent Benefits 2024-09-15",Medical and Health Services Managers,mid,2,Cognitive,"The role requires significant cognitive tacit knowledge as it involves practicing medicine autonomously and making complex judgments that cannot be fully captured in a manual. The social dimension is also present, as the psychiatrist must navigate patient relationships and potentially influence treatment plans. Technical knowledge is present but not dominant, as medical expertise is required. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Technical,"The role involves autonomous decision-making within outpatient care settings, but the structured environment of psychiatric practice and support from NP and APP staff suggest some procedural boundaries. A qualified psychiatrist needs experience, but the role's core tasks are not deeply novel or ambiguous. Dominant: Technical (individual/local). Also present: Cognitive (self-organization). Absent: Social.",0.233
Quality Technician - Microbiology,Quality Control Systems Managers,mid,0,Technical,"The role primarily involves following established procedures and ensuring compliance with SOPs, which are procedural tasks. The tasks such as product inspection, document review, and assisting with equipment calibration are procedural and can be performed by a novice with a complete manual. Dominant: Technical (individual/local). Also present: Social (interaction with supervisor/lead). Absent: Cognitive.",1,Technical,"The role involves quality compliance with established SOPs and specifications, indicating procedural tasks. However, the need to troubleshoot issues and participate in quality investigations suggests some level of judgment beyond a manual. Dominant: Technical (local tasks). Also present: Social (audit support). Absent: Cognitive.",0.23500000000000001
Quality Multi-Family Manager (Multi-Job Leadership) (1st Shift),Quality Control Systems Managers,senior,1,Technical,"The role involves developing and executing business plans and managing resources, which requires some institutional judgment. However, the focus on executing established procedures and managing teams suggests a structured environment where a strong junior could grow into the role with guidance. Dominant: Technical (institutional). Also present: Social (relationship management), Cognitive (some judgment). Absent: none.",2,Cognitive,"The role involves developing business plans and executing policies, requiring significant institutional judgment and strategic oversight. Managing resources and leading process improvements further indicate a need for deep domain expertise. Dominant: Cognitive. Also present: Social (relationship management, team motivation), Technical (process improvements). Absent: none.",0.35050000000000003
Quality Control Engineer,Quality Control Systems Managers,mid,0,Technical,"The role primarily involves following established procedures and specifications for quality control, which are well-documented and procedural in nature. A trained novice could perform these tasks with the appropriate manuals and guidance. Dominant: Technical (individual/local). Also present: Social (coordination with departments). Absent: Cognitive.",1,Technical,"The role involves the application of standard quality control procedures and inspection tasks, which are largely procedural and can be executed with a strong understanding of guidelines and standards. Some autonomy and judgment are required for coordinating schedules and audits, suggesting mixed TK. Dominant: Technical (local tasks). Also present: Social (coordination). Absent: Cognitive.",0.3675
Java Test/UI Automation,Software Quality Assurance Analysts and Testers,mid,1,Technical,"The role involves defining automation strategies and workflows, which require some level of institutional judgment beyond procedural tasks. However, the focus on technical skills and tools like DevOps platforms and CI/CD pipelines suggests a structured methodology that a strong junior could eventually manage with guidance. Dominant: Technical. Also present: Social (stakeholder interaction). Absent: Cognitive.",2,Cognitive,"The role involves developing an E2E automation strategy and recommending best practices, which require deep domain mastery and strategic thinking beyond procedural tasks. The ability to set automation roadmaps and influence team skills and framework indicates significant institutional judgment. Dominant: Cognitive (institutional strategy). Also present: Technical (automation tools), Social (stakeholder communication). Absent: none.",0.357
Test Analyst,Software Quality Assurance Analysts and Testers,mid,1,Technical,"The role involves using precision measuring instruments and complex test equipment, which requires some technical expertise beyond basic procedures. However, the tasks are largely procedural and focused on defect identification, which can be learned with experience. The coordination with project leads suggests some social interaction but not at a strategic level. Dominant: Technical. Also present: Social. Absent: Cognitive.",0,Technical,"Tasks are primarily procedural and involve inspecting and testing materials using specified methods and equipment. The role is tool-dependent and does not require institutional judgment or advanced social skills. Dominant: Technical (individual/local). Also present: None. Absent: Cognitive, Social.",0.24500000000000002
Inventory Manager,Supply Chain Managers,senior,1,Technical,"The role involves developing and implementing inventory strategies, which requires some institutional judgment beyond procedural tasks. However, the focus on managing processes and metrics suggests a structured workflow that a strong junior could eventually manage with guidance. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,Cognitive,"The role requires strategic development and implementation of inventory processes, which involves navigating complex, non-codifiable decision-making environments. The tasks go beyond procedural management and require seasoned judgment and domain mastery, particularly in coordinating across multiple departments to optimize inventory systems. Dominant: Cognitive (institutional strategy). Also present: Technical (inventory systems), Social (cross-departmental coordination). Absent: none.",0.35100000000000003
"PCBA Ops Excellence Program Manager, Project Kuiper",Supply Chain Managers,senior,1,Technical,"The role involves process improvements and metric development, which require some institutional judgment but are bounded by existing frameworks. The need to work across stakeholders and manage cross-functional projects suggests a mix of structured workflow and some autonomy. Dominant: Technical. Also present: Social, Cognitive. Absent: none.",2,Cognitive,"The role requires navigating ambiguity and solving complex problems, which indicates the need for deep institutional judgment. The requirement to independently prioritize projects and establish clear metrics across a broad range of stakeholders suggests a mastery that goes beyond codifiable tasks. Dominant: Cognitive (institutional strategy). Also present: Social (cross-functional collaboration), Technical (process improvements). Absent: none.",0.35200000000000004
Sr Capacity Planner (Remote),Supply Chain Managers,senior,1,Technical,"The role involves strategic planning and coordination across multiple teams, which requires some institutional judgment. However, the tasks are largely structured around established workforce management and forecasting methodologies, suggesting a strong junior could eventually manage with guidance. Dominant: Technical (local tools). Also present: Social (cross-team coordination). Absent: Cognitive.",2,Cognitive,"The role involves strategic development and deployment of workforce management strategies and requires significant domain experience in call center operations, indicating a high level of cognitive and institutional judgment. The need to partner with leaders and propose solutions aligns with non-codifiable tasks beyond a procedural approach. Dominant: Cognitive. Also present: Technical (workforce management tools), Social (leadership collaboration). Absent: none.",0.35000000000000003
Logistics Manager,Supply Chain Managers,senior,2,Cognitive,"The role requires devising and implementing strategies to achieve business goals, which involves significant institutional judgment and cannot be fully captured in a manual. The need for strong and convincing communication skills indicates the importance of navigating complex social interactions. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Technical,"The role involves supervision and planning which requires some judgment and experience, but it is bounded by structured processes and logistics requirements. The role includes responsibilities like publishing reports and ensuring quality requirements, indicating structured workflows. Dominant: Technical (structured logistics tasks). Also present: Social (staff supervision). Absent: Cognitive.",0.225
